Timestamp,Date,ping,download,upload
1.59067E+12,5/28/2020 17:54,353.231,5.02,1.7
1.59067E+12,5/28/2020 17:57,343.946,5.62,1.6
1590669697187.531,2020-05-28 18:11:37,100,0,0
1590669909969.647,2020-05-28 18:15:09,861.539,1.13,1.37
1590670129895.0579,2020-05-28 18:18:49,370.798,5.36,1.27
1590670355832.844,2020-05-28 18:22:35,709.28,1.18,1.14
1590671736555.6692,2020-05-28 18:45:36,619.077,3.51,1.06
1590671946361.243,2020-05-28 18:49:06,750.923,5.34,0.85
1590672161993.478,2020-05-28 18:52:41,711.58,1.32,1.07
1590672375841.281,2020-05-28 18:56:15,762.848,4.34,1.23
1590672589596.424,2020-05-28 18:59:49,822.169,1.64,1.13
1590672796573.004,2020-05-28 19:03:16,846.44,2.03,1.08
1590673002296.727,2020-05-28 19:06:42,645.542,3.69,0.9
1590673207338.4458,2020-05-28 19:10:07,763.381,2.1,1.45
1590673417921.582,2020-05-28 19:13:37,717.847,2.12,1.23
1590673624756.052,2020-05-28 19:17:04,733.595,4.19,1.34
1590673839431.0342,2020-05-28 19:20:39,810.98,1.1,1.13
1590674069071.674,2020-05-28 19:24:29,695.626,2.39,1.13
1590674293037.462,2020-05-28 19:28:13,853.59,2.4,0.87
1590674506333.8262,2020-05-28 19:31:46,729.444,4.48,1.24
1590674736910.5671,2020-05-28 19:35:36,951.282,3.9,1.1
1590674972644.0288,2020-05-28 19:39:32,602.464,3.54,1.17
1590675180204.719,2020-05-28 19:43:00,789.039,3.41,1.25
1590675401768.7832,2020-05-28 19:46:41,731.239,2.97,1.2
1590675616657.143,2020-05-28 19:50:16,726.882,3.67,1.33
1590675851183.476,2020-05-28 19:54:11,678.468,2.21,1.07
1590676034139.8972,2020-05-28 19:57:14,530.818,5.32,1.16
1590676226124.692,2020-05-28 20:00:26,776.62,3.86,1.28
1590676430868.5369,2020-05-28 20:03:50,579.061,1.79,0.94
1590676643689.22,2020-05-28 20:07:23,618.931,2.63,1.28
1590676856961.364,2020-05-28 20:10:56,548.812,2.12,0.58
1590677058123.543,2020-05-28 20:14:18,535.136,2.78,1.24
1590677244355.716,2020-05-28 20:17:24,425.411,3.89,1.19
1590677451414.98,2020-05-28 20:20:51,547.241,1.31,0.79
1590677647306.091,2020-05-28 20:24:07,644.329,4.03,1.13
1590677843510.3408,2020-05-28 20:27:23,528.516,3.59,0.99
1590678049024.811,2020-05-28 20:30:49,455.723,4.89,1.08
1590678242562.206,2020-05-28 20:34:02,595.488,3.85,0.81
1590678442833.21,2020-05-28 20:37:22,641.829,3.66,1.2
1590678664514.2761,2020-05-28 20:41:04,779.064,3.94,1.11
1590678871432.8599,2020-05-28 20:44:31,841.08,2.66,1.11
1590679078382.7268,2020-05-28 20:47:58,533.929,3.34,1.06
1590679281984.134,2020-05-28 20:51:21,522.818,5.35,1.26
1590679508927.0798,2020-05-28 20:55:08,930.356,4.61,0.92
1590679748096.76,2020-05-28 20:59:08,649.52,3.67,0.3
1590679984189.99,2020-05-28 21:03:04,1114.521,1.98,1.06
1590680230722.5,2020-05-28 21:07:10,767.206,0.86,1.17
1590680444249.2148,2020-05-28 21:10:44,776.301,2.5,1.17
1590680709409.069,2020-05-28 21:15:09,1597.331,3.71,0.7
1590680996996.766,2020-05-28 21:19:56,1749.382,1.8,1.14
1590681263316.251,2020-05-28 21:24:23,1981.801,3.18,1.06
1590681498293.8572,2020-05-28 21:28:18,930.924,2.22,1.26
1590681770580.158,2020-05-28 21:32:50,1496.414,2.02,1.06
1590682061267.3909,2020-05-28 21:37:41,862.121,0.0,0.1
1590682312094.477,2020-05-28 21:41:52,1148.433,1.92,1.08
1590682583836.2551,2020-05-28 21:46:23,1982.924,1.68,1.15
1590682840361.335,2020-05-28 21:50:40,1596.852,1.91,1.06
1590693777335.161,2020-05-29 00:52:57,100,0,0
1590724280292.763,2020-05-29 09:21:20,2759.244,1.54,1.23
1590724471991.7542,2020-05-29 09:24:31,418.178,3.17,1.23
1590724661097.495,2020-05-29 09:27:41,430.141,4.72,0.75
1590724882344.369,2020-05-29 09:31:22,776.406,3.32,1.13
1590725118390.6072,2020-05-29 09:35:18,831.038,2.42,1.09
1590725344702.127,2020-05-29 09:39:04,627.658,2.24,1.31
1590725585762.106,2020-05-29 09:43:05,905.322,1.57,0.55
1590726064773.469,2020-05-29 09:51:04,1531.105,0.67,0.74
1590726404976.479,2020-05-29 09:56:44,3352.857,0.8,1.13
1590726649591.085,2020-05-29 10:00:49,661.504,2.68,1.05
1590727185709.056,2020-05-29 10:09:45,100,0,0
1590727406044.889,2020-05-29 10:13:26,625.457,2.98,0.73
1590727652157.663,2020-05-29 10:17:32,1405.487,3.24,1.16
1590727954696.335,2020-05-29 10:22:34,829.016,1.99,0.7
1590728333070.4019,2020-05-29 10:28:53,3495.327,0.0,0.35
1590728670455.98,2020-05-29 10:34:30,1635.362,0.67,1.1
1590729015501.3198,2020-05-29 10:40:15,1921.924,1.67,0.61
1590729416986.696,2020-05-29 10:46:56,2044.325,2.09,1.22
1590729667441.8499,2020-05-29 10:51:07,1417.366,2.86,0.28
1590729904598.644,2020-05-29 10:55:04,516.235,0.26,1.02
1590730212110.838,2020-05-29 11:00:12,1676.541,0.23,0.41
1591235942166.228,2020-06-04 07:29:02,638.492,4.04,1.15
1591236203778.599,2020-06-04 07:33:23,1265.977,1.77,0.85
1591236454501.8,2020-06-04 07:37:34,1250.372,2.08,1.17
1591236754316.096,2020-06-04 07:42:34,1855.95,2.28,0.65
1591237060598.412,2020-06-04 07:47:40,2418.517,2.35,0.96
1591237306307.231,2020-06-04 07:51:46,1935.422,2.29,1.16
1591237556419.2332,2020-06-04 07:55:56,1132.085,3.33,1.39
1591237851360.5608,2020-06-04 08:00:51,1150.022,1.12,0.86
1591238144130.7139,2020-06-04 08:05:44,248.379,4.42,1.29
1591238369463.959,2020-06-04 08:09:29,861.927,1.2,1.35
1591238588597.707,2020-06-04 08:13:08,820.182,2.27,1.11
1591238812695.1958,2020-06-04 08:16:52,840.65,2.39,1.18
1591238976696.037,2020-06-04 08:19:36,100,0,0
1591239153602.556,2020-06-04 08:22:33,100,0,0
1591239330506.1318,2020-06-04 08:25:30,100,0,0
1591239507357.3252,2020-06-04 08:28:27,100,0,0
1591239684234.9739,2020-06-04 08:31:24,100,0,0
1591239861128.1409,2020-06-04 08:34:21,100,0,0
1591240037960.708,2020-06-04 08:37:17,100,0,0
1591240214979.586,2020-06-04 08:40:14,100,0,0
1591240391870.885,2020-06-04 08:43:11,100,0,0
1591240568769.25,2020-06-04 08:46:08,100,0,0
1591240745618.894,2020-06-04 08:49:05,100,0,0
1591240922582.867,2020-06-04 08:52:02,100,0,0
1591241099560.4019,2020-06-04 08:54:59,100,0,0
1591241276477.7441,2020-06-04 08:57:56,100,0,0
1591241453413.7412,2020-06-04 09:00:53,100,0,0
1591241639157.903,2020-06-04 09:03:59,100,0,0
1591241815999.929,2020-06-04 09:06:55,100,0,0
1591241992967.9429,2020-06-04 09:09:52,100,0,0
1591242169898.1372,2020-06-04 09:12:49,100,0,0
1591242346771.928,2020-06-04 09:15:46,100,0,0
1591242523643.302,2020-06-04 09:18:43,100,0,0
1591242700511.635,2020-06-04 09:21:40,100,0,0
1591242877518.718,2020-06-04 09:24:37,100,0,0
1591243054402.9282,2020-06-04 09:27:34,100,0,0
1591243231263.144,2020-06-04 09:30:31,100,0,0
1591243408121.115,2020-06-04 09:33:28,100,0,0
1591251832749.815,2020-06-04 11:53:52,239.608,4.29,0.69
1591252043230.011,2020-06-04 11:57:23,663.728,3.01,1.05
1591252277327.45,2020-06-04 12:01:17,938.369,3.59,1.32
1591252561216.9458,2020-06-04 12:06:01,2414.942,1.14,1.18
1591252907811.5051,2020-06-04 12:11:47,1350.466,1.06,0.91
1591253161284.7969,2020-06-04 12:16:01,1367.57,3.04,0.61
1591253427977.406,2020-06-04 12:20:27,1484.058,0.74,0.78
1591253644012.257,2020-06-04 12:24:04,668.183,2.58,1.25
1591253869799.692,2020-06-04 12:27:49,868.007,3.38,1.02
1591254158364.573,2020-06-04 12:32:38,1494.688,1.6,1.28
1591254369242.1838,2020-06-04 12:36:09,849.242,1.85,1.08
1591254647679.2441,2020-06-04 12:40:47,1020.914,2.05,1.11
1591254872538.325,2020-06-04 12:44:32,925.736,0.46,1.03
1591255083165.3572,2020-06-04 12:48:03,765.104,1.91,1.03
1591255331317.39,2020-06-04 12:52:11,1098.27,1.5,1.03
1591255576785.1829,2020-06-04 12:56:16,1411.539,4.47,1.19
1591255813898.8398,2020-06-04 13:00:13,857.321,1.35,1.09
1591256027853.435,2020-06-04 13:03:47,1053.094,2.15,0.88
1591256256175.246,2020-06-04 13:07:36,1054.491,2.15,0.92
1591256487307.41,2020-06-04 13:11:27,1085.739,3.49,1.14
1591256718335.281,2020-06-04 13:15:18,885.07,3.41,1.02
1591256977602.631,2020-06-04 13:19:37,818.767,3.92,0.82
1591257233577.765,2020-06-04 13:23:53,639.886,2.13,1.37
1591257461988.17,2020-06-04 13:27:41,1024.129,3.21,0.76
1591257699495.2559,2020-06-04 13:31:39,1364.533,3.82,0.98
1591257930713.5789,2020-06-04 13:35:30,760.169,3.11,1.04
1591290733409.1,2020-06-04 22:42:13,1407.27,0.86,0.4
1591327582281.657,2020-06-05 08:56:22,373.684,0.24,0.0
1591327918241.638,2020-06-05 09:01:58,775.289,5.32,1.08
1591328067104.323,2020-06-05 09:04:27,100,0,0
1591328302645.936,2020-06-05 09:08:22,834.804,2.7,1.24
1591328500284.362,2020-06-05 09:11:40,536.864,1.95,1.09
1591328656699.189,2020-06-05 09:14:16,100,0,0
1591328908673.395,2020-06-05 09:18:28,100,0,0
1591329123225.224,2020-06-05 09:22:03,264.674,2.97,1.09
1591329352399.3198,2020-06-05 09:25:52,730.923,0.49,1.11
1591329566709.2249,2020-06-05 09:29:26,884.882,1.89,1.0
1591329796288.8948,2020-06-05 09:33:16,733.016,0.7,1.69
1591330007379.627,2020-06-05 09:36:47,668.064,0.54,1.23
1591330263834.777,2020-06-05 09:41:03,1087.574,1.77,1.14
1591330546216.1501,2020-06-05 09:45:46,1469.832,0.76,1.25
1591330758711.6648,2020-06-05 09:49:18,1019.659,1.64,1.12
1591331079989.0251,2020-06-05 09:54:39,2622.129,1.32,0.8
1591331317799.063,2020-06-05 09:58:37,533.021,0.89,1.11
1591331638872.467,2020-06-05 10:03:58,1378.736,1.4,0.95
1591331890387.148,2020-06-05 10:08:10,1922.792,0.34,1.12
1591332193423.275,2020-06-05 10:13:13,2194.944,1.07,0.36
1591332423255.351,2020-06-05 10:17:03,524.254,0.17,0.73
1591332570316.021,2020-06-05 10:19:30,100,0,0
1591332841149.103,2020-06-05 10:24:01,1230.379,0.02,0.43
1591333058060.843,2020-06-05 10:27:38,656.114,0.96,0.67
1591333263315.594,2020-06-05 10:31:03,598.167,4.06,1.19
1591333498477.793,2020-06-05 10:34:58,1392.826,2.82,1.33
1591333760438.05,2020-06-05 10:39:20,356.78,9.02,0.86
1591334007663.2969,2020-06-05 10:43:27,633.554,4.76,1.07
1591334245975.035,2020-06-05 10:47:25,1161.009,1.71,1.04
1591334483573.8188,2020-06-05 10:51:23,406.071,6.0,1.62
1591334748041.6738,2020-06-05 10:55:48,2307.855,0.64,1.28
1591334940555.783,2020-06-05 10:59:00,100,0,0
1591335163699.476,2020-06-05 11:02:43,100,0,0
1591335388691.9,2020-06-05 11:06:28,100,0,0
1591335616694.1619,2020-06-05 11:10:16,100,0,0
1591335790038.138,2020-06-05 11:13:10,100,0,0
1591335962013.641,2020-06-05 11:16:02,100,0,0
1591694783740.805,2020-06-09 14:56:23,33.137,19.16,3.41
1591694933106.725,2020-06-09 14:58:53,48.168,13.46,3.42
1591695083025.073,2020-06-09 15:01:23,37.611,21.84,3.28
